epoch_id,anchor_id,pci,ssb_index,tx_hw_timestamp,period_ms
0,0,0,0,38912,20
1,0,0,0,69632,20
2,0,0,0,100352,20
3,0,0,0,131072,20
4,0,0,0,161792,20
5,0,0,0,192512,20
6,0,0,0,223232,20
7,0,0,0,253952,20
8,0,0,0,284672,20
9,0,0,0,315392,20
10,0,0,0,346112,20
11,0,0,0,376832,20
12,0,0,0,407552,20
13,0,0,0,438272,20
14,0,0,0,468992,20
15,0,0,0,499712,20
16,0,0,0,530432,20
17,0,0,0,561152,20
18,0,0,0,591872,20
19,0,0,0,622592,20
20,0,0,0,653312,20
21,0,0,0,684032,20
22,0,0,0,714752,20
23,0,0,0,745472,20
24,0,0,0,776192,20
25,0,0,0,806912,20
26,0,0,0,837632,20
27,0,0,0,868352,20
28,0,0,0,899072,20
29,0,0,0,929792,20
30,0,0,0,960512,20
31,0,0,0,991232,20
32,0,0,0,1021952,20
33,0,0,0,1052672,20
34,0,0,0,1083392,20
35,0,0,0,1114112,20
36,0,0,0,1144832,20
37,0,0,0,1175552,20
38,0,0,0,1206272,20
39,0,0,0,1236992,20
40,0,0,0,1267712,20
41,0,0,0,1298432,20
42,0,0,0,1329152,20
43,0,0,0,1359872,20
44,0,0,0,1390592,20
45,0,0,0,1421312,20
46,0,0,0,1452032,20
47,0,0,0,1482752,20
48,0,0,0,1513472,20
49,0,0,0,1544192,20
50,0,0,0,1574912,20
51,0,0,0,1605632,20
52,0,0,0,1636352,20
53,0,0,0,1667072,20
54,0,0,0,1697792,20
55,0,0,0,1728512,20
56,0,0,0,1759232,20
57,0,0,0,1789952,20
58,0,0,0,1820672,20
59,0,0,0,1851392,20
60,0,0,0,1882112,20
61,0,0,0,1912832,20
62,0,0,0,1943552,20
63,0,0,0,1974272,20
64,0,0,0,2004992,20
65,0,0,0,2035712,20
66,0,0,0,2066432,20
67,0,0,0,2097152,20
68,0,0,0,2127872,20
69,0,0,0,2158592,20
70,0,0,0,2189312,20
71,0,0,0,2220032,20
72,0,0,0,2250752,20
73,0,0,0,2281472,20
74,0,0,0,2312192,20
75,0,0,0,2342912,20
76,0,0,0,2373632,20
77,0,0,0,2404352,20
78,0,0,0,2435072,20
79,0,0,0,2465792,20
80,0,0,0,2496512,20
81,0,0,0,2527232,20
82,0,0,0,2557952,20
83,0,0,0,2588672,20
84,0,0,0,2619392,20
85,0,0,0,2650112,20
86,0,0,0,2680832,20
87,0,0,0,2711552,20
88,0,0,0,2742272,20
89,0,0,0,2772992,20
90,0,0,0,2803712,20
91,0,0,0,2834432,20
92,0,0,0,2865152,20
93,0,0,0,2895872,20
94,0,0,0,2926592,20
95,0,0,0,2957312,20
96,0,0,0,2988032,20
97,0,0,0,3018752,20
98,0,0,0,3049472,20
99,0,0,0,3080192,20
100,0,0,0,3110912,20
101,0,0,0,3141632,20
102,0,0,0,3172352,20
103,0,0,0,3203072,20
104,0,0,0,3233792,20
105,0,0,0,3264512,20
106,0,0,0,3295232,20
107,0,0,0,3325952,20
108,0,0,0,3356672,20
109,0,0,0,3387392,20
110,0,0,0,3418112,20
111,0,0,0,3448832,20
112,0,0,0,3479552,20
113,0,0,0,3510272,20
114,0,0,0,3540992,20
115,0,0,0,3571712,20
116,0,0,0,3602432,20
117,0,0,0,3633152,20
118,0,0,0,3663872,20
119,0,0,0,3694592,20
120,0,0,0,3725312,20
121,0,0,0,3756032,20
122,0,0,0,3786752,20
123,0,0,0,3817472,20
124,0,0,0,3848192,20
125,0,0,0,3878912,20
126,0,0,0,3909632,20
127,0,0,0,3940352,20
128,0,0,0,3971072,20
129,0,0,0,4001792,20
130,0,0,0,4032512,20
131,0,0,0,4063232,20
132,0,0,0,4093952,20
133,0,0,0,4124672,20
134,0,0,0,4155392,20
135,0,0,0,4186112,20
136,0,0,0,4216832,20
137,0,0,0,4247552,20
138,0,0,0,4278272,20
139,0,0,0,4308992,20
140,0,0,0,4339712,20
141,0,0,0,4370432,20
142,0,0,0,4401152,20
143,0,0,0,4431872,20
144,0,0,0,4462592,20
145,0,0,0,4493312,20
146,0,0,0,4524032,20
147,0,0,0,4554752,20
148,0,0,0,4585472,20
149,0,0,0,4616192,20
150,0,0,0,4646912,20
151,0,0,0,4677632,20
152,0,0,0,4708352,20
153,0,0,0,4739072,20
154,0,0,0,4769792,20
155,0,0,0,4800512,20
156,0,0,0,4831232,20
157,0,0,0,4861952,20
158,0,0,0,4892672,20
159,0,0,0,4923392,20
160,0,0,0,4954112,20
161,0,0,0,4984832,20
162,0,0,0,5015552,20
163,0,0,0,5046272,20
164,0,0,0,5076992,20
165,0,0,0,5107712,20
166,0,0,0,5138432,20
167,0,0,0,5169152,20
168,0,0,0,5199872,20
169,0,0,0,5230592,20
170,0,0,0,5261312,20
171,0,0,0,5292032,20
172,0,0,0,5322752,20
173,0,0,0,5353472,20
174,0,0,0,5384192,20
175,0,0,0,5414912,20
176,0,0,0,5445632,20
177,0,0,0,5476352,20
178,0,0,0,5507072,20
179,0,0,0,5537792,20
180,0,0,0,5568512,20
181,0,0,0,5599232,20
182,0,0,0,5629952,20
183,0,0,0,5660672,20
184,0,0,0,5691392,20
185,0,0,0,5722112,20
186,0,0,0,5752832,20
187,0,0,0,5783552,20
188,0,0,0,5814272,20
189,0,0,0,5844992,20
190,0,0,0,5875712,20
191,0,0,0,5906432,20
192,0,0,0,5937152,20
193,0,0,0,5967872,20
194,0,0,0,5998592,20
195,0,0,0,6029312,20
196,0,0,0,6060032,20
197,0,0,0,6090752,20
