window_end_frame,frames,found,found_ratio,mean_cfo_hz,mode_pci,mode_pci_count
100,100,3,0.030000,-1842223.166667,-1,0
200,100,2,0.020000,1823825.875000,-1,0
300,100,0,0.000000,0.000000,-1,0
400,100,4,0.040000,-7850116.328125,-1,0
