frame_id,found,nid2,nid1,pci,peak_pos,sss_pos,toa_ns,cfo_hz,pss_metric,pss_peak_ratio,sss_metric,sss_peak_ratio
69,1,2,154,464,1522,3628,9249520,10523392.000,0.065209,1.093979,0.099027,1.135086
70,1,2,-1,-1,3672,0,9452840,4704466.000,0.070363,1.145120,0.000000,1.034178
71,0,-1,-1,-1,0,0,0,0.000,0.000000,1.027161,0.000000,0.000000
72,1,2,-1,-1,2646,0,9686107,-5483420.000,0.066422,1.105073,0.000000,1.048367
73,1,2,-1,-1,1856,0,9793724,6289767.000,0.069272,1.167898,0.000000,1.027258
74,0,-1,-1,-1,0,0,0,0.000,0.000000,1.026615,0.000000,0.000000
75,0,-1,-1,-1,0,0,0,0.000,0.000000,1.017225,0.000000,0.000000
76,0,-1,-1,-1,0,0,0,0.000,0.000000,1.016481,0.000000,0.000000
77,0,-1,-1,-1,0,0,0,0.000,0.000000,1.009308,0.000000,0.000000
78,0,-1,-1,-1,0,0,0,0.000,0.000000,1.078248,0.000000,0.000000
79,1,1,-1,-1,2690,0,10620871,13598151.000,0.086204,1.211034,0.000000,1.001796
80,1,2,187,563,1986,3918,10731287,-8133080.500,0.085400,1.392445,0.087094,1.114140
81,0,-1,-1,-1,0,0,0,0.000,0.000000,1.053049,0.000000,0.000000
82,0,-1,-1,-1,0,0,0,0.000,0.000000,1.009273,0.000000,0.000000
83,1,1,-1,-1,2358,0,11143395,14034029.000,0.068048,1.108130,0.000000,1.039075
84,1,1,-1,-1,596,0,11219372,7623463.000,0.070410,1.127119,0.000000,1.056833
85,0,-1,-1,-1,0,0,0,0.000,0.000000,1.022081,0.000000,0.000000
86,0,-1,-1,-1,0,0,0,0.000,0.000000,1.042545,0.000000,0.000000
87,1,0,-1,-1,2968,0,11696584,2961677.250,0.061148,1.100870,0.000000,1.045892
88,0,-1,-1,-1,0,0,0,0.000,0.000000,1.043594,0.000000,0.000000
89,0,-1,-1,-1,0,0,0,0.000,0.000000,1.009878,0.000000,0.000000
90,1,2,-1,-1,2784,0,12090594,1779159.500,0.078414,1.264193,0.000000,1.054367
91,1,0,54,162,1722,3838,12189356,2714676.000,0.072104,1.217628,0.102837,1.209013
92,1,2,-1,-1,664,0,12288249,2332837.500,0.071092,1.173570,0.000000,1.033175
